model,id,MC1,MN1,MN2,point_id,run_key,runtime_s,returncode,xsec_pb,xsec_err_pb,order,xsec_NNLO_NNLL_pb,xsec_NNLO_NNLL_err_pb,status,log
higgsino_N2C1plus_13p6,mc1_150_mn1_149p7_mn2_150p3,150,149.7,150.3,mc1_150_mn1_149p7_mn2_150p3,higgsino_N2C1plus_13p6::mc1_150_mn1_149p7_mn2_150p3,21.42,0,0.89461129,0.00064938983,NNLO+NNLL,0.89461129,0.00064938983,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_149p7_mn2_150p3/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_149p6_mn2_150p4,150,149.6,150.4,mc1_150_mn1_149p6_mn2_150p4,higgsino_N2C1plus_13p6::mc1_150_mn1_149p6_mn2_150p4,21.26,0,0.89356176,0.00064858443,NNLO+NNLL,0.89356176,0.00064858443,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_149p6_mn2_150p4/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_149p5_mn2_150p5,150,149.5,150.5,mc1_150_mn1_149p5_mn2_150p5,higgsino_N2C1plus_13p6::mc1_150_mn1_149p5_mn2_150p5,21.13,0,0.89251378,0.00064777337,NNLO+NNLL,0.89251378,0.00064777337,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_149p5_mn2_150p5/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_149p25_mn2_150p75,150,149.25,150.75,mc1_150_mn1_149p25_mn2_150p75,higgsino_N2C1plus_13p6::mc1_150_mn1_149p25_mn2_150p75,21.08,0,0.88994716,0.00064650129,NNLO+NNLL,0.88994716,0.00064650129,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_149p25_mn2_150p75/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_149_mn2_151,150,149,151,mc1_150_mn1_149_mn2_151,higgsino_N2C1plus_13p6::mc1_150_mn1_149_mn2_151,21.11,0,0.88733704,0.00064439121,NNLO+NNLL,0.88733704,0.00064439121,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_149_mn2_151/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_148p5_mn2_151p5,150,148.5,151.5,mc1_150_mn1_148p5_mn2_151p5,higgsino_N2C1plus_13p6::mc1_150_mn1_148p5_mn2_151p5,21.15,0,0.88211592,0.00064038002,NNLO+NNLL,0.88211592,0.00064038002,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_148p5_mn2_151p5/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_147p5_mn2_152p5,150,147.5,152.5,mc1_150_mn1_147p5_mn2_152p5,higgsino_N2C1plus_13p6::mc1_150_mn1_147p5_mn2_152p5,21.16,0,0.87183462,0.00063236938,NNLO+NNLL,0.87183462,0.00063236938,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_147p5_mn2_152p5/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_147_mn2_153,150,147,153,mc1_150_mn1_147_mn2_153,higgsino_N2C1plus_13p6::mc1_150_mn1_147_mn2_153,21.03,0,0.86673184,0.00062846703,NNLO+NNLL,0.86673184,0.00062846703,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_147_mn2_153/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_146p25_mn2_153p75,150,146.25,153.75,mc1_150_mn1_146p25_mn2_153p75,higgsino_N2C1plus_13p6::mc1_150_mn1_146p25_mn2_153p75,21.42,0,0.85916054,0.00062267093,NNLO+NNLL,0.85916054,0.00062267093,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_146p25_mn2_153p75/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_145_mn2_155,150,145,155,mc1_150_mn1_145_mn2_155,higgsino_N2C1plus_13p6::mc1_150_mn1_145_mn2_155,21.28,0,0.84672925,0.00061319918,NNLO+NNLL,0.84672925,0.00061319918,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_145_mn2_155/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_142p5_mn2_157p5,150,142.5,157.5,mc1_150_mn1_142p5_mn2_157p5,higgsino_N2C1plus_13p6::mc1_150_mn1_142p5_mn2_157p5,20.77,0,0.82241314,0.00059696016,NNLO+NNLL,0.82241314,0.00059696016,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_142p5_mn2_157p5/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_140_mn2_160,150,140,160,mc1_150_mn1_140_mn2_160,higgsino_N2C1plus_13p6::mc1_150_mn1_140_mn2_160,20.93,0,0.79889637,0.00057880595,NNLO+NNLL,0.79889637,0.00057880595,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_140_mn2_160/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_137p5_mn2_162p5,150,137.5,162.5,mc1_150_mn1_137p5_mn2_162p5,higgsino_N2C1plus_13p6::mc1_150_mn1_137p5_mn2_162p5,21.02,0,0.77625496,0.00055965821,NNLO+NNLL,0.77625496,0.00055965821,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_137p5_mn2_162p5/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_135_mn2_165,150,135,165,mc1_150_mn1_135_mn2_165,higgsino_N2C1plus_13p6::mc1_150_mn1_135_mn2_165,20.9,0,0.75419067,0.00054459673,NNLO+NNLL,0.75419067,0.00054459673,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_135_mn2_165/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_130_mn2_170,150,130,170,mc1_150_mn1_130_mn2_170,higgsino_N2C1plus_13p6::mc1_150_mn1_130_mn2_170,21.09,0,0.71244493,0.0005103858,NNLO+NNLL,0.71244493,0.0005103858,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_130_mn2_170/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_125_mn2_175,150,125,175,mc1_150_mn1_125_mn2_175,higgsino_N2C1plus_13p6::mc1_150_mn1_125_mn2_175,21.03,0,0.67328821,0.00048211031,NNLO+NNLL,0.67328821,0.00048211031,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_125_mn2_175/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_120_mn2_180,150,120,180,mc1_150_mn1_120_mn2_180,higgsino_N2C1plus_13p6::mc1_150_mn1_120_mn2_180,21.57,0,0.63656665,0.00045387783,NNLO+NNLL,0.63656665,0.00045387783,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_120_mn2_180/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_115_mn2_185,150,115,185,mc1_150_mn1_115_mn2_185,higgsino_N2C1plus_13p6::mc1_150_mn1_115_mn2_185,23.75,0,0.60221404,0.00042572219,NNLO+NNLL,0.60221404,0.00042572219,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_115_mn2_185/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_110_mn2_190,150,110,190,mc1_150_mn1_110_mn2_190,higgsino_N2C1plus_13p6::mc1_150_mn1_110_mn2_190,22.75,0,0.56998777,0.00040134448,NNLO+NNLL,0.56998777,0.00040134448,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_110_mn2_190/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_105_mn2_195,150,105,195,mc1_150_mn1_105_mn2_195,higgsino_N2C1plus_13p6::mc1_150_mn1_105_mn2_195,22.16,0,0.53979902,0.00037961134,NNLO+NNLL,0.53979902,0.00037961134,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_105_mn2_195/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_100_mn2_200,150,100,200,mc1_150_mn1_100_mn2_200,higgsino_N2C1plus_13p6::mc1_150_mn1_100_mn2_200,22.73,0,0.51136237,0.00035760417,NNLO+NNLL,0.51136237,0.00035760417,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_100_mn2_200/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_90_mn2_210,150,90,210,mc1_150_mn1_90_mn2_210,higgsino_N2C1plus_13p6::mc1_150_mn1_90_mn2_210,21.53,0,0.45970192,0.00032064426,NNLO+NNLL,0.45970192,0.00032064426,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_90_mn2_210/resummino.log
higgsino_N2C1plus_13p6,mc1_150_mn1_80_mn2_220,150,80,220,mc1_150_mn1_80_mn2_220,higgsino_N2C1plus_13p6::mc1_150_mn1_80_mn2_220,20.92,0,0.4140105,0.00028859157,NNLO+NNLL,0.4140105,0.00028859157,ok,runs/higgsino_N2C1plus_13p6/mc1_150_mn1_80_mn2_220/resummino.log
higgsino_N2C1plus_13p6,mc1_175_mn1_174p7_mn2_175p3,175,174.7,175.3,mc1_175_mn1_174p7_mn2_175p3,higgsino_N2C1plus_13p6::mc1_175_mn1_174p7_mn2_175p3,21.7,0,0.51884395,0.00036422634,NNLO+NNLL,0.51884395,0.00036422634,ok,runs/higgsino_N2C1plus_13p6/mc1_175_mn1_174p7_mn2_175p3/resummino.log
higgsino_N2C1plus_13p6,mc1_175_mn1_174p6_mn2_175p4,175,174.6,175.4,mc1_175_mn1_174p6_mn2_175p4,higgsino_N2C1plus_13p6::mc1_175_mn1_174p6_mn2_175p4,21.64,0,0.51831909,0.00036384469,NNLO+NNLL,0.51831909,0.00036384469,ok,runs/higgsino_N2C1plus_13p6/mc1_175_mn1_174p6_mn2_175p4/resummino.log
